Region,Year,Discoveries
Afrotropic,1800,0
Afrotropic,1801,0
Afrotropic,1802,0
Afrotropic,1803,0
Afrotropic,1804,0
Afrotropic,1805,0
Afrotropic,1806,0
Afrotropic,1807,0
Afrotropic,1808,0
Afrotropic,1809,0
Afrotropic,1810,0
Afrotropic,1811,0
Afrotropic,1812,0
Afrotropic,1813,0
Afrotropic,1814,0
Afrotropic,1815,0
Afrotropic,1816,0
Afrotropic,1817,0
Afrotropic,1818,0
Afrotropic,1819,0
Afrotropic,1820,0
Afrotropic,1821,0
Afrotropic,1822,0
Afrotropic,1823,0
Afrotropic,1824,0
Afrotropic,1825,0
Afrotropic,1826,0
Afrotropic,1827,0
Afrotropic,1828,0
Afrotropic,1829,0
Afrotropic,1830,0
Afrotropic,1831,0
Afrotropic,1832,0
Afrotropic,1833,0
Afrotropic,1834,0
Afrotropic,1835,0
Afrotropic,1836,0
Afrotropic,1837,0
Afrotropic,1838,0
Afrotropic,1839,0
Afrotropic,1840,0
Afrotropic,1841,0
Afrotropic,1842,0
Afrotropic,1843,0
Afrotropic,1844,0
Afrotropic,1845,0
Afrotropic,1846,0
Afrotropic,1847,0
Afrotropic,1848,0
Afrotropic,1849,0
Afrotropic,1850,0
Afrotropic,1851,0
Afrotropic,1852,0
Afrotropic,1853,0
Afrotropic,1854,0
Afrotropic,1855,0
Afrotropic,1856,0
Afrotropic,1857,0
Afrotropic,1858,0
Afrotropic,1859,0
Afrotropic,1860,0
Afrotropic,1861,0
Afrotropic,1862,0
Afrotropic,1863,0
Afrotropic,1864,0
Afrotropic,1865,0
Afrotropic,1866,0
Afrotropic,1867,0
Afrotropic,1868,0
Afrotropic,1869,0
Afrotropic,1870,0
Afrotropic,1871,0
Afrotropic,1872,0
Afrotropic,1873,0
Afrotropic,1874,0
Afrotropic,1875,0
Afrotropic,1876,1
Afrotropic,1877,0
Afrotropic,1878,0
Afrotropic,1879,0
Afrotropic,1880,0
Afrotropic,1881,0
Afrotropic,1882,0
Afrotropic,1883,0
Afrotropic,1884,0
Afrotropic,1885,1
Afrotropic,1886,0
Afrotropic,1887,1
Afrotropic,1888,0
Afrotropic,1889,0
Afrotropic,1890,0
Afrotropic,1891,0
Afrotropic,1892,0
Afrotropic,1893,0
Afrotropic,1894,0
Afrotropic,1895,0
Afrotropic,1896,0
Afrotropic,1897,0
Afrotropic,1898,0
Afrotropic,1899,1
Afrotropic,1900,0
Afrotropic,1901,0
Afrotropic,1902,0
Afrotropic,1903,0
Afrotropic,1904,0
Afrotropic,1905,0
Afrotropic,1906,0
Afrotropic,1907,0
Afrotropic,1908,1
Afrotropic,1909,0
Afrotropic,1910,0
Afrotropic,1911,0
Afrotropic,1912,0
Afrotropic,1913,0
Afrotropic,1914,1
Afrotropic,1915,0
Afrotropic,1916,0
Afrotropic,1917,0
Afrotropic,1918,0
Afrotropic,1919,0
Afrotropic,1920,1
Afrotropic,1921,1
Afrotropic,1922,0
Afrotropic,1923,0
Afrotropic,1924,0
Afrotropic,1925,1
Afrotropic,1926,0
Afrotropic,1927,1
Afrotropic,1928,0
Afrotropic,1929,0
Afrotropic,1930,0
Afrotropic,1931,0
Afrotropic,1932,0
Afrotropic,1933,0
Afrotropic,1934,1
Afrotropic,1935,1
Afrotropic,1936,1
Afrotropic,1937,0
Afrotropic,1938,0
Afrotropic,1939,1
Afrotropic,1940,0
Afrotropic,1941,0
Afrotropic,1942,0
Afrotropic,1943,0
Afrotropic,1944,0
Afrotropic,1945,0
Afrotropic,1946,0
Afrotropic,1947,0
Afrotropic,1948,0
Afrotropic,1949,0
Afrotropic,1950,0
Afrotropic,1951,0
Afrotropic,1952,0
Afrotropic,1953,0
Afrotropic,1954,0
Afrotropic,1955,0
Afrotropic,1956,0
Afrotropic,1957,0
Afrotropic,1958,0
Afrotropic,1959,0
Afrotropic,1960,0
Afrotropic,1961,0
Afrotropic,1962,0
Afrotropic,1963,0
Afrotropic,1964,0
Afrotropic,1965,0
Afrotropic,1966,0
Afrotropic,1967,0
Afrotropic,1968,0
Afrotropic,1969,0
Afrotropic,1970,0
Afrotropic,1971,0
Afrotropic,1972,0
Afrotropic,1973,1
Afrotropic,1974,0
Afrotropic,1975,1
Afrotropic,1976,0
Afrotropic,1977,0
Afrotropic,1978,0
Afrotropic,1979,0
Afrotropic,1980,1
Afrotropic,1981,0
Afrotropic,1982,0
Afrotropic,1983,0
Afrotropic,1984,0
Afrotropic,1985,0
Afrotropic,1986,0
Afrotropic,1987,0
Afrotropic,1988,0
Afrotropic,1989,0
Afrotropic,1990,1
Afrotropic,1991,0
Afrotropic,1992,0
Afrotropic,1993,0
Afrotropic,1994,2
Afrotropic,1995,0
Afrotropic,1996,0
Afrotropic,1997,0
Afrotropic,1998,0
Afrotropic,1999,0
Afrotropic,2000,0
Afrotropic,2001,0
Afrotropic,2002,0
Afrotropic,2003,0
Afrotropic,2004,0
Afrotropic,2005,0
Afrotropic,2006,0
Afrotropic,2007,0
Afrotropic,2008,1
Afrotropic,2009,0
Afrotropic,2010,0
Afrotropic,2011,0
Afrotropic,2012,0
Asian Palearctic,1800,0
Asian Palearctic,1801,0
Asian Palearctic,1802,0
Asian Palearctic,1803,0
Asian Palearctic,1804,0
Asian Palearctic,1805,0
Asian Palearctic,1806,0
Asian Palearctic,1807,0
Asian Palearctic,1808,0
Asian Palearctic,1809,0
Asian Palearctic,1810,0
Asian Palearctic,1811,0
Asian Palearctic,1812,0
Asian Palearctic,1813,0
Asian Palearctic,1814,0
Asian Palearctic,1815,0
Asian Palearctic,1816,0
Asian Palearctic,1817,0
Asian Palearctic,1818,0
Asian Palearctic,1819,0
Asian Palearctic,1820,0
Asian Palearctic,1821,0
Asian Palearctic,1822,0
Asian Palearctic,1823,0
Asian Palearctic,1824,0
Asian Palearctic,1825,0
Asian Palearctic,1826,0
Asian Palearctic,1827,0
Asian Palearctic,1828,0
Asian Palearctic,1829,0
Asian Palearctic,1830,0
Asian Palearctic,1831,0
Asian Palearctic,1832,0
Asian Palearctic,1833,0
Asian Palearctic,1834,0
Asian Palearctic,1835,0
Asian Palearctic,1836,0
Asian Palearctic,1837,0
Asian Palearctic,1838,0
Asian Palearctic,1839,0
Asian Palearctic,1840,0
Asian Palearctic,1841,0
Asian Palearctic,1842,0
Asian Palearctic,1843,0
Asian Palearctic,1844,0
Asian Palearctic,1845,0
Asian Palearctic,1846,0
Asian Palearctic,1847,0
Asian Palearctic,1848,0
Asian Palearctic,1849,0
Asian Palearctic,1850,0
Asian Palearctic,1851,1
Asian Palearctic,1852,1
Asian Palearctic,1853,0
Asian Palearctic,1854,0
Asian Palearctic,1855,0
Asian Palearctic,1856,0
Asian Palearctic,1857,0
Asian Palearctic,1858,0
Asian Palearctic,1859,1
Asian Palearctic,1860,0
Asian Palearctic,1861,0
Asian Palearctic,1862,0
Asian Palearctic,1863,0
Asian Palearctic,1864,0
Asian Palearctic,1865,0
Asian Palearctic,1866,0
Asian Palearctic,1867,0
Asian Palearctic,1868,0
Asian Palearctic,1869,0
Asian Palearctic,1870,1
Asian Palearctic,1871,0
Asian Palearctic,1872,0
Asian Palearctic,1873,1
Asian Palearctic,1874,1
Asian Palearctic,1875,1
Asian Palearctic,1876,0
Asian Palearctic,1877,0
Asian Palearctic,1878,0
Asian Palearctic,1879,2
