Year,Region,Value
1854,Afrotropic,0
1855,Afrotropic,5.35979E-11
1856,Afrotropic,0
1857,Afrotropic,9.22539E-10
1858,Afrotropic,1.40743E-11
1859,Afrotropic,9.15685E-10
1860,Afrotropic,1.09252E-11
1861,Afrotropic,0
1862,Afrotropic,1.14783E-09
1863,Afrotropic,9.87934E-10
1864,Afrotropic,1.0893E-09
1865,Afrotropic,1.03679E-09
1866,Afrotropic,4.39671E-09
1867,Afrotropic,0
1868,Afrotropic,0
1869,Afrotropic,2.23923E-09
1870,Afrotropic,5.1904E-09
1871,Afrotropic,1.16536E-08
1872,Afrotropic,2.01669E-08
1873,Afrotropic,1.65167E-08
1874,Afrotropic,3.44669E-08
1875,Afrotropic,5.24979E-08
1876,Afrotropic,3.23695E-08
1877,Afrotropic,2.90958E-08
1878,Afrotropic,2.80858E-08
1879,Afrotropic,3.39097E-08
1880,Afrotropic,4.57664E-08
1881,Afrotropic,5.75508E-08
1882,Afrotropic,7.6253E-08
1883,Afrotropic,9.03753E-08
1884,Afrotropic,7.48547E-08
1885,Afrotropic,1.05612E-07
1886,Afrotropic,7.98854E-08
1887,Afrotropic,8.67237E-08
1888,Afrotropic,1.08609E-07
1889,Afrotropic,1.52445E-07
1890,Afrotropic,1.62642E-07
1891,Afrotropic,1.97513E-07
1892,Afrotropic,2.09286E-07
1893,Afrotropic,4.19635E-06
1894,Afrotropic,8.55362E-06
1895,Afrotropic,8.93063E-06
1896,Afrotropic,1.194E-05
1897,Afrotropic,1.00434E-05
1898,Afrotropic,1.30758E-05
1899,Afrotropic,1.36398E-05
1900,Afrotropic,1.67115E-05
1901,Afrotropic,1.9031E-05
1902,Afrotropic,1.22393E-05
1903,Afrotropic,9.76335E-06
1904,Afrotropic,1.02094E-05
1905,Afrotropic,1.67146E-05
1906,Afrotropic,0.00012399
1907,Afrotropic,5.327E-05
1908,Afrotropic,7.74987E-05
1909,Afrotropic,0.000104673
1910,Afrotropic,0.00015195
